Team 	Span	Mat	Won	Lost	Tied	NR	Win_lost_ratio	Ave	RPO	Inns	HS	LS
Australia	1971-2019	924	558	323	9	34	1.727	33.97	4.99	914	434	70
India	1974-2019	963	500	414	9	40	1.207	33.54	5.04	952	418	54
Pakistan	1973-2019	907	479	401	8	19	1.194	30.5	4.81	906	399	43
West Indies	1973-2019	793	390	365	10	28	1.068	30	4.75	783	389	54
Sri Lanka	1975-2019	832	379	411	5	37	0.922	29.55	4.89	816	443	43
South Africa	1991-2019	606	374	210	6	16	1.78	35.58	5.1	603	439	69
England	1971-2019	726	362	330	8	26	1.096	30.81	4.88	720	481	86
New Zealand	1973-2019	758	342	370	6	40	0.924	29.12	4.81	743	402	64
Bangladesh	1986-2019	358	118	233	0	7	0.506	25.12	4.52	355	329	58
Afghanistan	2009-2019	109	56	49	1	3	1.142	26.83	4.72	108	338	58
